 NAMLI HİPERMARKETLERİ - KADIKÖY ,OSMANAĞA
 ÖZKURUŞLAR - KOSUYOLU ,BARBAROS
1 A 1K ,19 MAYIS
2 DE 1 KÖFTE  ,GÖZTEPE
33 CADDE TANTUNİ ,GÖZTEPE
ABOOOV KEBAB ,ERENKÖY
ADAM TANTUNİ ,BOSTANCI
ALVAR GIDA ET VE TAVUK ÜRÜNLERİ ,SAHRAYICEDİD
ARSAMİEA MEŞHUR ADIYAMAN ÇİĞKÖFTE ,FENERYOLU
ATA KEBAP ,KOZYATAĞI
AVM POSTA CAFE ,ACIBADEM
AVRASYA DÜRÜM EVİ ,KOŞUYOLU
B.A.P BAGHDAD AVENUE PİZZERİA ,CADDE BOSTAN
BAFETTO ,ŞAŞKINBAKKAL
BAKLAVACI GÜLLÜOĞLU HASANPAŞA ,HASANPAŞA
BALOĞLU KURUYEMİŞÇİLİK ,CAFERAĞA
BARIŞ BÜFE ,ZÜHTÜPAŞA
BARIŞ MARKET ,ERENKÖY
BAĞDAT DÖNER ,GÖZTEPE
BE NU ME BURGER ,CAFERAĞA
BEYAZ DÜRÜM ,CAFERAĞA
BİZ BÜFE ,KOZYATAĞI
BİZİM TAŞ FIRIN ,KOŞUYOLU
BONCOLA PİZZA ,OSMANAĞA
BORSA LOKANTASI - SUADİYE ,SUADİYE
BUHARA MANTI ,ERENKÖY
BURAK İSKENDER SALONU ,ERENKÖY
BURGER KİNG - NAUTİLUS ,ACIBADEM
BURGERLORD ,BOSTANCI
BURSA İSKENDER ,HASANPAŞA
BUTİK GURME KASAP KÖFTE IZGARA ,19 MAYIS
BIG CARMELO'S COFFEE ,CAFERAĞA
BIG CARMELO'S COFFEE ,OSMANAĞA
BISKOTTI PASTA & CAFE ,K.BAKKALKÖY
CABBAR CAFE ,BOSTANCI
CADDE İSTİKLAL DÖNER ,OSMANAĞA
CADDE LAHMACUN PİDE FIRIN ,FİKİRTEPE
CAFE KREPPE ,KOZYATAĞI
CAFE LONDON ,SAHRAYICEDİT
CAFE PASSAGE ,CADDE BOSTAN
CARIBOU COFFEE CADDEBOSTAN 2 / İSTANBUL ,CADDEBOSTAN
CARIBOU COFFEE CADDEBOSTAN SAHİL / İSTANBUL ,CADDEBOSTAN
CİĞERCİ HAMZA ,OSMANAĞA
COOKİ HOUSE - KOZYATAĞI ,19 MAYIS
COŞKUN USTA BAFRA PİDE ,19 MAYIS
CREMMA ,ONDOKUZMAYIS
CREMMA CAFE - SUADİYE  ,SUADİYE
DAMLA PİDE VE LAVAŞ FIRINI ,RASİMPAŞA
DESTAN LOKANTASI ,OSMANAĞA
DİLEK ( CADDE ) ,CADDEBOSTAN
DOMİNO'S PİZZA - ERENKÖY ,ERENKÖY
DOMİNO'S PİZZA - FENERBAHÇE ,FENERBAHÇE
DOMİNO'S PİZZA - FENERYOLU ,FENERYOLU
DOMİNO'S PİZZA - İNÖNÜ ,SAHRAYICEDİT
DOMİNO'S PİZZA - KADIKÖY KAHVE ,CAFERAĞA
DOMİNO'S PİZZA - KAZASKER ,SUADİYE
DOMİNO'S PİZZA - KOŞUYOLU ,KOŞUYOLU
DOMİNO'S PİZZA - NAUTİLUS AVM ,ACIBADEM
DOMİNOS PİZZA ,SUADİYE
DÖNERCİ CELAL USTA ,KOŞUYOLU
DÜRÜMCÜ EMMİ ,HASANPAŞA
ECEVİTLER ,OSMANAĞA
ECEVİTLER EVCE ŞARKÜTERİ VE EV ÜRÜNLERİ ,OSMANAĞA
EDİRNE KÖFTECİSİ ,ZÜHTÜ PAŞA
EGE MUTFAĞI ,OSMANAĞA
EGENİN İNCİSİ ,SUADİYE
EJDER PASTANELERİ ,KOZYATAĞI
ENDER Çİ BÖREK CAFE ,SAHRAYICEDİT
ERENKÖY BAHARAT VE GIDA TİCARET ,ERENKÖY
ERENKÖY DÖNER ,ERENKÖY
ERKONYALILAR ,19 MAYIS
ERKONYALILAR - BOSTANCI ,BOSTANCI
ERKONYALILAR - KOZYATAĞI ,19 MAYIS
ERKONYALILAR BOSTANCI MAH. ,BOSTANCI
ERSEN BÜFE ,İÇERENKÖY
FARMET DÖNER CADDEBOSTAN MAĞAZA ,CADDEBOSTAN
FEYZAN MANTI VE EV YEMEKLERİ ,19 MAYIS
Fit Kitchen ,19 MAYIS
FRANGO ,OSMANAĞA
FRANGO ,FENERYOLU
FRYDAYS CADDE ,GÖZTEPE
FÜME ,KOŞUYOLU
GAZİANTEP CADDE KEBAP ,BOSTANCI
GAZİANTEP PİDE VE LAHMACUN ,GÖZTEPE
GOURMET KADIKÖY ,19 MAYIS
GURMAN KÖFTE LOKANTASI ,RASİMPAŞA
GURME SERKAN ÖZER PEYNİRCİLİK ,KOŞUYOLU
GÜN DEN ,FENERYOLU
GÜNAYDIN KEBAP ŞAŞKINBAKKAL ,SUADİYE
GÜNAYDIN KÖFTE DÖNER AKASYA ,ACIBADEM
GÜNAYDIN KÖFTE DÖNER NAUTİLUS ,KOŞUYOLU
GINGER PİZZA ,GÖZTEPE
HACIBAŞAR KEBAP BAKLAVA - GÖZTEPE ,GÖZTEPE
HACIBAŞAR KEBAP ERENKÖY ,ERENKÖY
HACIBAŞAR KEBAP KOZYATAĞI ,KOZYATAĞI
HACISALİHOĞLU GIDA ,RASİMPAŞA
HANDMADE BURGER ,CAFERAĞA
HAPPY CENTER - BOSTANCI ,BOSTANCI
HAPPY CENTER - ERENKÖYLER ,19 MAYIS
HAPPY CENTER - KADIKÖY DUMLUPINAR MAH ,DUMLUPINAR
HAPPY CENTER - KOZYATAĞI ,KOZYATAĞI
HAPPY CENTER - SUADİYE ,SUADİYE
HAPPY CENTER - ŞENESEVLER ,KOZYATAĞI
HAPPY MOON'S CAFE CADDEBOSTAN ,CADDEBOSTAN
HAPPY MOON'S CAFE ŞAŞKINBAKKAL ,CADDEBOSTAN
HARBİ TANTUNİ ,DUMLUPINAR
HD İSKENDER  TEPE NAUTILUS ,ACIBADEM
HD İSKENDER KADIKÖY İSKELE ,OSMANAĞA
HEEY KEBAP ,KOZYATAĞI
Homini Cafe ,HASANPAŞA
İNEGÖL KÖFTECİSİ ,CAFERAĞA
İSTANBUL KIRMIZI FIRIN ,19 MAYIS
KADIKÖY PİDE LAHMACUN ,FİKİRTEPE
KAMPÜS TANTUNİ ,EĞİTİM
KARAELMAS EV YEMEKLERİ ,CAFERAĞA
KARDEŞİM KEBAP ,KOŞUYOLU
KEBAPÇI İSKENDER ,CAFERAĞA
KEBAPÇI İSKENDER ERENKÖY CADDE ,SUADİYE
KEBO KADIKÖY ŞUBE ,CAFERAĞA
KEKİK CAFE ,CAFERAĞA
KERVAN BÖREK ,FİKİRTEPE
KETTLE BLACK COFFEE ,KOZYATAĞI
KFC - ACIBADEM ISTANBUL ,ACIBADEM
KFC - ALTIYOL ISTANBUL ,OSMANAĞA
KFC - BOSTANCI PARAGON ISTANBUL ,BOSTANCI
KFC - GOZTEPE ISTASYON ISTANBUL ,GÖZTEPE
KFC - MUHURDAR ISTANBUL ,MÜHÜRDAR CADDESİ CAFERAĞA
KFC - NAUTILUS ISTANBUL ,NAUTİLUS ALIŞVERİŞ MERKEZİ İBRAHİMAĞA
KFC - SAHRAYI CEDIT ISTANBUL ,SAHRAYICEDİT
KİM MARKET - ERENKÖY ,SAHRAYICEDİT
KOMAGENE ,19 MAYIS
KOMAGENE GÖZTEPE MAH. ,GÖZTEPE
KRİSTAL BÜFE ,KOZYATAĞI
KUZUREÇ ,ACIBADEM
KÖFTECİ YUSUF - BAĞDAT CADDESİ ,ZÜHTÜPAŞA
KÖFTECİ YUSUF İST-KADIKÖY RIHTIM ,CAFERAĞA
KÖFTECİ YUSUF İST-KOZYATAĞI ,KOZYATAĞI
MANDALİN COZY EV YEMEKLERİ ,KOZYATAĞI
MARMARİS BÜFE ,SAHRAYICEDİD
MARMARİS BÜFE ,19 MAYIS
MAVİ GIDA ,KOZYATAĞI
